c_index,context,period,state,action,reward,next_state
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",1,"[24, 6, -1]",0.5,0.0,"[24, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",2,"[24, 5, 0.5]",0.5,0.5,"[23, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",3,"[23, 5, 0.5]",0.5,0.5,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",4,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",5,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",6,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",7,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",8,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",9,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",10,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",11,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",12,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",13,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",14,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",15,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",16,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",17,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",18,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",19,"[22, 5, 0.5]",0.5,0.0,"[22, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",20,"[22, 5, 0.5]",0.5,0.5,"[21, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",21,"[21, 5, 0.5]",0.5,0.0,"[21, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",22,"[21, 5, 0.5]",0.5,0.0,"[21, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",23,"[21, 5, 0.5]",0.5,0.0,"[21, 5, 0.5]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",24,"[21, 5, 0.5]",0.7,0.0,"[21, 4, 0.7]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",25,"[21, 4, 0.7]",0.7,0.0,"[21, 4, 0.7]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",26,"[21, 4, 0.7]",0.7,0.0,"[21, 4, 0.7]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",27,"[21, 4, 0.7]",0.7,0.0,"[21, 4, 0.7]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",28,"[21, 4, 0.7]",0.7,0.7,"[20, 4, 0.7]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",29,"[20, 4, 0.7]",0.7,0.0,"[20, 4, 0.7]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",30,"[20, 4, 0.7]",0.7,0.0,"[20, 4, 0.7]"
1,"[0.5329, 0.0, 0.0, 0.3014, 0.1148]",31,"[20, 4, 0.7]",0.7,0.0,"[20, 4, 0.7]"
