c_index,context,period,state,action,reward,next_state
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",1,"[18, 6, -1]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",2,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",3,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",4,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",5,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",6,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",7,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",8,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",9,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",10,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",11,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",12,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",13,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",14,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",15,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",16,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
1,"[0.5329, 0.0, 0.0, 0.0021, 0.2789]",17,"[18, 5, 1.0]",1.0,0.0,"[18, 5, 1.0]"
