period,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,beta_0,beta_1,beta_2,beta_3,beta_4
1,0.05120184358257187,0.8184040572900103,0.0,1.1154185183615246,2.6703961340283557e-18,-2.885130091109127e-16,-2.0714314725241105e-16,-0.003219747098618158,-1.0851453551680037,-0.023344035566452058
2,0.05317849612511603,0.8625853714709759,0.003336926580387668,1.063208629298173,3.6590328886641065e-18,-1.2326434975994067e-18,0.0,-0.004302179261267435,-1.0246261317695886,-0.020639656295329187
3,0.054958959958370704,0.9071415979125566,0.0070978006786214486,1.0106404765304808,1.9429585554280837e-18,-3.024622197610884e-19,-5.485666530948981e-19,-0.005155690605001574,-0.9623115068410166,-0.01678844585869256
4,0.05653062982575701,0.9516947568245266,0.011370959732588948,0.9581487609783447,2.2657799995408025e-18,-7.3377633423522655e-19,0.0,-0.005717358339213753,-0.8986426391132191,-0.011660592511109635
5,0.05790654913486033,0.9958051677820067,0.01625839919312394,0.9062197864800134,0.0,-3.1439848266115113e-19,0.0,-0.0059233620221556035,-0.8342161967957413,-0.0051613121516836625
6,0.05997891890356447,1.038857305112647,0.021938670053900464,0.8546535226134,6.500105376225123e-19,0.0,-6.052916412415596e-20,-0.005600265290126317,-0.7697986291230529,-1.3958269018317876e-18
7,0.06404280441192375,1.0801884696950264,0.02881397867774847,0.8029146658558416,2.5987048513045425e-19,-2.1160108329823308e-19,-1.248316281584075e-18,-0.004673013046391932,-0.706360562454854,0.0
8,0.06863507578737095,1.1192958851878474,0.03357850320480215,0.7531053504218809,2.528871437506007e-19,0.0,-3.461981133936167e-19,-1.942475785164028e-18,-0.6452642767979292,0.0
9,0.0712947910664159,1.1571504250584492,0.04406259216474704,0.6987661728982514,0.007122635825474473,0.0,0.0,-1.8799277545957372e-17,-0.5782414113128467,0.0
10,0.07369724885671586,1.1917984553202303,0.05583822507996043,0.645337643932301,0.016963259911167084,0.0,-8.390400316870827e-19,-3.7359449758393574e-18,-0.5128672430310753,0.0
11,0.07663298069474142,1.2220645174927858,0.06884003121995157,0.5953464483416645,0.027774745909904214,0.0,0.0,-6.81575457128709e-17,-0.4530880872178995,-1.7347234759766992e-18
12,0.08029535710329613,1.2472975376097624,0.08271043028767643,0.5495194145149985,0.03944248962737318,0.0,0.0,-6.643544082724449e-18,-0.4004491513812395,-3.469446951953662e-18
13,0.0848600125246593,1.2670245738110784,0.09695024607847093,0.5084614691221334,0.05178755429058847,-1.0917586645661827e-18,-1.3198155138895924e-19,-6.1455857580270675e-19,-0.35623726031153424,0.0
14,0.09045208374138798,1.2810008888779818,0.11095460599752764,0.47266321307853515,0.064531385125787,-1.2477943120325717e-19,-2.1629853412627856e-19,-9.353754222105918e-18,-0.3213768710638562,-8.673617379884269e-19
15,0.09712971902750207,1.2891735962580821,0.12405454064892033,0.44257110127941846,0.07727888712788343,-1.2686819965868615e-18,0.0,0.0,-0.2964341997557975,-1.7347234759767932e-18
16,0.10488573542996797,1.2916072999061936,0.1356237106062245,0.41868793523206266,0.08950269593740871,0.0,-1.5978551583543943e-19,0.0,-0.2817378278832671,0.0
17,0.1136581475138495,1.2883975901190923,0.145151673895918,0.40161782944184354,0.10058348005741738,0.0,0.0,-2.9792604407597652e-19,-0.27747163414896303,0.0
18,0.12332197550637695,1.2796273948557046,0.1522967360224269,0.39201926327772,0.10990691015343321,0.0,-5.240543973965689e-19,0.0,-0.28365660075928595,-1.3010426069826042e-18
19,0.18005475365502238,1.256048439172512,0.15692588195145266,0.35690671132854496,0.11472880405170621,-0.04636332507501379,-1.3772758824216207e-18,0.0,-0.2659249198297777,0.0
20,0.2740426709389006,1.2195796756840842,0.15911605410251403,0.3038678279583753,0.11508624709078565,-0.12946706377206815,-1.496684451919332e-18,0.0,-0.2311983157763274,-4.336808689942014e-19
21,0.29837502710845437,1.2007046372253602,0.15905678450896304,0.27259073786636895,0.11341704892100808,-0.14247956250016316,0.0,0.0,-0.21917388387957945,0.0
