c_index,context,period,state,action,reward,next_state
1,"[0.5845, 0.5425]",1,"[8, 6, -1]",0.1,0.1,"[7, 5, 0.1]"
1,"[0.5845, 0.5425]",2,"[7, 5, 0.1]",0.1,0.0,"[7, 5, 0.1]"
1,"[0.5845, 0.5425]",3,"[7, 5, 0.1]",0.1,0.1,"[6, 5, 0.1]"
1,"[0.5845, 0.5425]",4,"[6, 5, 0.1]",0.1,0.1,"[5, 5, 0.1]"
1,"[0.5845, 0.5425]",5,"[5, 5, 0.1]",0.1,0.0,"[5, 5, 0.1]"
1,"[0.5845, 0.5425]",6,"[5, 5, 0.1]",1.0,0.0,"[5, 4, 1.0]"
1,"[0.5845, 0.5425]",7,"[5, 4, 1.0]",1.0,0.0,"[5, 4, 1.0]"
1,"[0.5845, 0.5425]",8,"[5, 4, 1.0]",1.0,0.0,"[5, 4, 1.0]"
1,"[0.5845, 0.5425]",9,"[5, 4, 1.0]",1.0,0.0,"[5, 4, 1.0]"
1,"[0.5845, 0.5425]",10,"[5, 4, 1.0]",1.0,0.0,"[5, 4, 1.0]"
1,"[0.5845, 0.5425]",11,"[5, 4, 1.0]",1.0,1.0,"[4, 4, 1.0]"
1,"[0.5845, 0.5425]",12,"[4, 4, 1.0]",0.3,0.0,"[4, 3, 0.3]"
1,"[0.5845, 0.5425]",13,"[4, 3, 0.3]",0.3,0.0,"[4, 3, 0.3]"
1,"[0.5845, 0.5425]",14,"[4, 3, 0.3]",0.3,0.3,"[3, 3, 0.3]"
1,"[0.5845, 0.5425]",15,"[3, 3, 0.3]",0.3,0.3,"[2, 3, 0.3]"
1,"[0.5845, 0.5425]",16,"[2, 3, 0.3]",0.3,0.0,"[2, 3, 0.3]"
1,"[0.5845, 0.5425]",17,"[2, 3, 0.3]",0.3,0.0,"[2, 3, 0.3]"
1,"[0.5845, 0.5425]",18,"[2, 3, 0.3]",0.5,0.0,"[2, 2, 0.5]"
1,"[0.5845, 0.5425]",19,"[2, 2, 0.5]",0.5,0.5,"[1, 2, 0.5]"
1,"[0.5845, 0.5425]",20,"[1, 2, 0.5]",0.5,0.5,"[0, 2, 0.5]"
1,"[0.5845, 0.5425]",21,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
1,"[0.5845, 0.5425]",22,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
1,"[0.5845, 0.5425]",23,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
1,"[0.5845, 0.5425]",24,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
1,"[0.5845, 0.5425]",25,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
1,"[0.5845, 0.5425]",26,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
1,"[0.5845, 0.5425]",27,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
1,"[0.5845, 0.5425]",28,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
1,"[0.5845, 0.5425]",29,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
1,"[0.5845, 0.5425]",30,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
2,"[0.2563, 0.2043]",1,"[11, 6, -1]",0.5,0.0,"[11, 5, 0.5]"
2,"[0.2563, 0.2043]",2,"[11, 5, 0.5]",0.5,0.0,"[11, 5, 0.5]"
2,"[0.2563, 0.2043]",3,"[11, 5, 0.5]",0.5,0.5,"[10, 5, 0.5]"
2,"[0.2563, 0.2043]",4,"[10, 5, 0.5]",0.5,0.0,"[10, 5, 0.5]"
2,"[0.2563, 0.2043]",5,"[10, 5, 0.5]",0.5,0.0,"[10, 5, 0.5]"
2,"[0.2563, 0.2043]",6,"[10, 5, 0.5]",0.7,0.0,"[10, 4, 0.7]"
2,"[0.2563, 0.2043]",7,"[10, 4, 0.7]",0.7,0.0,"[10, 4, 0.7]"
2,"[0.2563, 0.2043]",8,"[10, 4, 0.7]",0.7,0.0,"[10, 4, 0.7]"
