c_index,context,period,state,action,reward,next_state
1,"[0.045, 0.118, 0.3038, 0.0232]",1,"[11, 6, -1]",0.2,0.2,"[10, 5, 0.2]"
1,"[0.045, 0.118, 0.3038, 0.0232]",2,"[10, 5, 0.2]",0.2,0.2,"[9, 5, 0.2]"
1,"[0.045, 0.118, 0.3038, 0.0232]",3,"[9, 5, 0.2]",0.2,0.0,"[9, 5, 0.2]"
1,"[0.045, 0.118, 0.3038, 0.0232]",4,"[9, 5, 0.2]",0.2,0.2,"[8, 5, 0.2]"
1,"[0.045, 0.118, 0.3038, 0.0232]",5,"[8, 5, 0.2]",0.2,0.0,"[8, 5, 0.2]"
1,"[0.045, 0.118, 0.3038, 0.0232]",6,"[8, 5, 0.2]",0.6,0.0,"[8, 4, 0.6]"
1,"[0.045, 0.118, 0.3038, 0.0232]",7,"[8, 4, 0.6]",0.6,0.0,"[8, 4, 0.6]"
1,"[0.045, 0.118, 0.3038, 0.0232]",8,"[8, 4, 0.6]",0.6,0.0,"[8, 4, 0.6]"
1,"[0.045, 0.118, 0.3038, 0.0232]",9,"[8, 4, 0.6]",0.6,0.0,"[8, 4, 0.6]"
1,"[0.045, 0.118, 0.3038, 0.0232]",10,"[8, 4, 0.6]",0.6,0.0,"[8, 4, 0.6]"
1,"[0.045, 0.118, 0.3038, 0.0232]",11,"[8, 4, 0.6]",0.6,0.6,"[7, 4, 0.6]"
1,"[0.045, 0.118, 0.3038, 0.0232]",12,"[7, 4, 0.6]",0.4,0.0,"[7, 3, 0.4]"
1,"[0.045, 0.118, 0.3038, 0.0232]",13,"[7, 3, 0.4]",0.4,0.0,"[7, 3, 0.4]"
1,"[0.045, 0.118, 0.3038, 0.0232]",14,"[7, 3, 0.4]",0.4,0.0,"[7, 3, 0.4]"
1,"[0.045, 0.118, 0.3038, 0.0232]",15,"[7, 3, 0.4]",0.4,0.0,"[7, 3, 0.4]"
1,"[0.045, 0.118, 0.3038, 0.0232]",16,"[7, 3, 0.4]",0.4,0.0,"[7, 3, 0.4]"
1,"[0.045, 0.118, 0.3038, 0.0232]",17,"[7, 3, 0.4]",0.4,0.0,"[7, 3, 0.4]"
1,"[0.045, 0.118, 0.3038, 0.0232]",18,"[7, 3, 0.4]",0.5,0.0,"[7, 2, 0.5]"
1,"[0.045, 0.118, 0.3038, 0.0232]",19,"[7, 2, 0.5]",0.5,0.5,"[6, 2, 0.5]"
1,"[0.045, 0.118, 0.3038, 0.0232]",20,"[6, 2, 0.5]",0.5,0.5,"[5, 2, 0.5]"
1,"[0.045, 0.118, 0.3038, 0.0232]",21,"[5, 2, 0.5]",0.5,0.5,"[4, 2, 0.5]"
1,"[0.045, 0.118, 0.3038, 0.0232]",22,"[4, 2, 0.5]",0.5,0.0,"[4, 2, 0.5]"
1,"[0.045, 0.118, 0.3038, 0.0232]",23,"[4, 2, 0.5]",0.5,0.5,"[3, 2, 0.5]"
1,"[0.045, 0.118, 0.3038, 0.0232]",24,"[3, 2, 0.5]",0.9,0.0,"[3, 1, 0.9]"
1,"[0.045, 0.118, 0.3038, 0.0232]",25,"[3, 1, 0.9]",0.9,0.0,"[3, 1, 0.9]"
1,"[0.045, 0.118, 0.3038, 0.0232]",26,"[3, 1, 0.9]",0.9,0.0,"[3, 1, 0.9]"
1,"[0.045, 0.118, 0.3038, 0.0232]",27,"[3, 1, 0.9]",0.9,0.0,"[3, 1, 0.9]"
1,"[0.045, 0.118, 0.3038, 0.0232]",28,"[3, 1, 0.9]",0.9,0.0,"[3, 1, 0.9]"
1,"[0.045, 0.118, 0.3038, 0.0232]",29,"[3, 1, 0.9]",0.9,0.0,"[3, 1, 0.9]"
1,"[0.045, 0.118, 0.3038, 0.0232]",30,"[3, 1, 0.9]",0.9,0.0,"[3, 1, 0.9]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",1,"[15, 6, -1]",0.5,0.0,"[15, 5, 0.5]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",2,"[15, 5, 0.5]",0.5,0.5,"[14, 5, 0.5]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",3,"[14, 5, 0.5]",0.5,0.5,"[13, 5, 0.5]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",4,"[13, 5, 0.5]",0.5,0.5,"[12, 5, 0.5]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",5,"[12, 5, 0.5]",0.5,0.5,"[11, 5, 0.5]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",6,"[11, 5, 0.5]",0.9,0.9,"[10, 4, 0.9]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",7,"[10, 4, 0.9]",0.9,0.9,"[9, 4, 0.9]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",8,"[9, 4, 0.9]",0.9,0.9,"[8, 4, 0.9]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",9,"[8, 4, 0.9]",0.9,0.0,"[8, 4, 0.9]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",10,"[8, 4, 0.9]",0.9,0.9,"[7, 4, 0.9]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",11,"[7, 4, 0.9]",0.9,0.0,"[7, 4, 0.9]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",12,"[7, 4, 0.9]",1.0,0.0,"[7, 3, 1.0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",13,"[7, 3, 1.0]",1.0,1.0,"[6, 3, 1.0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",14,"[6, 3, 1.0]",1.0,1.0,"[5, 3, 1.0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",15,"[5, 3, 1.0]",1.0,0.0,"[5, 3, 1.0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",16,"[5, 3, 1.0]",1.0,1.0,"[4, 3, 1.0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",17,"[4, 3, 1.0]",1.0,1.0,"[3, 3, 1.0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",18,"[3, 3, 1.0]",0.9,0.9,"[2, 2, 0.9]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",19,"[2, 2, 0.9]",0.9,0.0,"[2, 2, 0.9]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",20,"[2, 2, 0.9]",0.9,0.9,"[1, 2, 0.9]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",21,"[1, 2, 0.9]",0.9,0.9,"[0, 2, 0.9]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",22,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",23,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",24,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",25,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",26,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",27,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",28,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",29,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
2,"[0.4169, 0.2617, 0.3087, 0.0134]",30,"[0, 0, 0]",0.0,0.0,"[0, 0, 0]"
3,"[0.3465, 0.2993, 0.2446, 0.499]",1,"[14, 6, -1]",0.6,0.0,"[14, 5, 0.6]"
3,"[0.3465, 0.2993, 0.2446, 0.499]",2,"[14, 5, 0.6]",0.6,0.0,"[14, 5, 0.6]"
3,"[0.3465, 0.2993, 0.2446, 0.499]",3,"[14, 5, 0.6]",0.6,0.6,"[13, 5, 0.6]"
3,"[0.3465, 0.2993, 0.2446, 0.499]",4,"[13, 5, 0.6]",0.6,0.6,"[12, 5, 0.6]"
3,"[0.3465, 0.2993, 0.2446, 0.499]",5,"[12, 5, 0.6]",0.6,0.6,"[11, 5, 0.6]"
